jitter_ms,planned_steps,actual_steps,denoise_ms,total_cycle_ms,stop_reason,ego_x,ego_y,ego_yaw,ego_vx,delta_0,delta_1,delta_2,delta_3,delta_4,delta_5,delta_6,delta_7,delta_8,delta_9
53.0080,6,6,24.3954,77.4024,completed,81728.11,50234.61,0.1841,8.33,0.0000,0.4188,0.5557,0.6932,5.9806,9.1443,,,,
30.4936,10,3,16.2770,46.7700,converged,81730.42,50235.03,0.1804,8.34,0.0000,0.0830,0.0690,,,,,,,
33.8167,10,3,9.4438,43.2598,converged,81730.42,50235.03,0.1804,8.34,0.0000,0.0684,0.0718,,,,,,,
26.9349,10,3,9.4500,36.3840,converged,81732.33,50235.37,0.1806,8.34,0.0000,0.0204,0.0389,,,,,,,
56.8661,6,6,31.4996,88.3657,completed,81732.33,50235.37,0.1806,8.34,0.0000,0.1604,0.1941,0.6693,5.9931,9.7693,,,,
47.7837,7,3,15.2426,63.0256,converged,81734.51,50235.75,0.1818,8.34,0.0000,0.0545,0.0477,,,,,,,
47.9200,7,7,34.0145,81.9335,completed,81734.51,50235.75,0.1818,8.34,0.0000,0.1070,0.3965,0.3950,3.1039,7.6538,9.4211,,,
25.5227,10,4,14.9636,40.4856,converged,81736.70,50236.15,0.1873,8.34,0.0000,0.0953,0.1053,0.0625,,,,,,
51.8404,7,7,31.9723,83.8124,completed,81736.70,50236.15,0.1873,8.34,0.0000,0.1103,0.3280,1.1631,1.6535,7.3704,9.0556,,,
41.8544,8,3,13.5613,55.4154,converged,81738.89,50236.56,0.1858,8.34,0.0000,0.1068,0.0533,,,,,,,
46.8039,7,7,37.3414,84.1444,completed,81738.89,50236.56,0.1858,8.34,0.0000,0.0905,0.3469,0.9939,4.4396,9.5845,8.8003,,,
51.1032,7,7,28.2401,79.3432,completed,81741.07,50236.96,0.1901,8.35,0.0000,0.0975,0.2409,1.5568,1.4537,7.1634,8.7482,,,
40.4104,8,8,38.6172,79.0272,completed,81741.07,50236.96,0.1901,8.35,0.0000,0.0557,0.1806,0.1166,0.9973,5.1079,8.5464,7.7598,,
55.4208,6,6,30.1082,85.5282,completed,81743.26,50237.38,0.1889,8.35,0.0000,0.1381,0.3404,1.8792,4.3098,8.7706,,,,
