jitter_ms,planned_steps,actual_steps,denoise_ms,total_cycle_ms,stop_reason,ego_x,ego_y,ego_yaw,ego_vx,delta_0,delta_1,delta_2,delta_3,delta_4,delta_5,delta_6,delta_7,delta_8,delta_9
50.4570,7,7,39.3050,89.7621,completed,81377.36,49916.91,0.5889,0.00,0.0000,1.0176,1.9720,3.9417,3.0716,4.4575,4.7678,,,
34.6731,9,9,37.9812,72.6542,completed,81377.36,49916.91,0.5889,0.00,0.0000,0.4851,1.0126,0.9119,2.4179,1.1478,2.2317,3.5597,3.0948,
53.3207,6,6,32.4589,85.7789,completed,81377.36,49916.91,0.5890,0.00,0.0000,0.7820,0.5941,1.0967,1.7495,3.8220,,,,
28.5728,10,8,41.9769,70.5489,converged,81377.36,49916.91,0.5890,0.00,0.0000,0.1067,0.5348,4.7853,7.1029,2.5411,0.4891,0.0414,,
55.8462,6,6,37.2889,93.1349,completed,81377.36,49916.91,0.5890,0.00,0.0000,1.1069,2.1944,3.8304,3.2492,4.9255,,,,
41.6789,8,8,35.2202,76.8982,completed,81377.36,49916.91,0.5890,0.00,0.0000,0.4050,0.4402,4.1176,2.4526,0.8461,2.1708,2.9652,,
40.6197,8,7,24.0785,64.6975,converged,81377.36,49916.91,0.5890,0.00,0.0000,0.0659,0.9031,10.2682,3.8616,0.9597,0.0539,,,
59.6960,5,5,16.4990,76.1951,converged,81377.36,49916.91,0.5890,0.00,0.0000,0.1958,10.9939,4.7470,0.0429,,,,,
24.0647,10,10,39.6015,63.6655,completed,81377.36,49916.91,0.5890,0.00,0.0000,0.1778,0.4419,1.0528,7.1379,0.9416,1.2041,2.0493,2.2305,2.1002
59.9348,5,5,17.9060,77.8400,completed,81377.36,49916.91,0.5890,0.00,0.0000,0.8787,6.2440,1.5384,1.2521,,,,,
42.3882,8,7,33.0924,75.4804,converged,81377.36,49916.91,0.5890,0.00,0.0000,0.3189,2.5122,11.0287,2.7252,0.3539,0.0786,,,
57.2829,6,6,29.6777,86.9598,converged,81377.36,49916.91,0.5890,0.00,0.0000,0.4529,7.6023,6.4227,1.9284,0.0559,,,,
