jitter_ms,planned_steps,actual_steps,denoise_ms,total_cycle_ms,stop_reason,ego_x,ego_y,ego_yaw,ego_vx,delta_0,delta_1,delta_2,delta_3,delta_4,delta_5,delta_6,delta_7,delta_8,delta_9
37.0449,9,9,30.3333,67.3773,completed,3641.81,73717.62,-2.0398,0.00,0.0000,0.1430,0.4378,0.2311,0.2103,2.0085,2.7024,4.0201,4.4811,
23.8088,10,3,9.3125,33.1206,converged,3641.81,73717.62,-2.0398,0.00,0.0000,0.0461,0.0394,,,,,,,
39.4148,9,3,10.1536,49.5677,converged,3641.81,73717.62,-2.0398,0.00,0.0000,0.0426,0.0525,,,,,,,
36.0839,9,3,9.0765,45.1595,converged,3641.81,73717.62,-2.0398,0.00,0.0000,0.0375,0.0608,,,,,,,
41.5964,8,3,8.9714,50.5674,converged,3641.81,73717.62,-2.0398,0.00,0.0000,0.0573,0.0787,,,,,,,
48.7703,7,7,22.4113,71.1813,completed,3641.81,73717.62,-2.0398,0.00,0.0000,0.0702,0.1340,0.5529,1.4630,3.2995,4.6630,,,
41.6682,8,3,9.5027,51.1707,converged,3641.81,73717.62,-2.0398,0.00,0.0000,0.0490,0.0474,,,,,,,
49.8462,7,7,23.7924,73.6384,completed,3641.81,73717.62,-2.0398,0.00,0.0000,0.0731,0.1076,0.4990,1.1095,3.1606,4.4295,,,
45.2329,8,3,10.6478,55.8799,converged,3641.81,73717.62,-2.0398,0.00,0.0000,0.0467,0.0965,,,,,,,
31.2982,10,3,13.8916,45.1896,converged,3641.81,73717.62,-2.0398,0.00,0.0000,0.0380,0.0867,,,,,,,
27.3842,10,3,13.8776,41.2617,converged,3641.81,73717.62,-2.0398,0.00,0.0000,0.0332,0.0587,,,,,,,
53.1392,6,6,20.8791,74.0181,completed,3641.81,73717.62,-2.0398,0.00,0.0000,0.1264,0.1945,0.5649,3.4100,5.3069,,,,
58.8157,5,5,19.4254,78.2404,completed,3641.81,73717.62,-2.0398,0.00,0.0000,0.1512,0.2883,1.6707,4.6885,,,,,
51.5411,7,7,25.1632,76.7043,completed,3641.81,73717.62,-2.0398,0.00,0.0000,0.0790,0.2464,0.1036,2.3810,4.0770,5.2016,,,
56.4145,6,6,20.2688,76.6828,completed,3641.81,73717.62,-2.0398,0.01,0.0000,0.1258,0.1639,0.2504,2.9171,5.1381,,,,
50.5547,7,7,23.1368,73.6908,completed,3641.81,73717.62,-2.0398,0.01,0.0000,0.1006,0.3017,1.4807,0.7493,2.0528,3.5259,,,
30.8904,10,5,23.2795,54.1696,converged,3641.81,73717.61,-2.0397,0.12,0.0000,0.0494,0.1288,0.1148,0.0892,,,,,
21.1470,10,3,10.4141,31.5611,converged,3641.81,73717.61,-2.0397,0.12,0.0000,0.0361,0.0989,,,,,,,
51.6288,7,3,11.6662,63.2942,converged,3641.79,73717.57,-2.0395,0.29,0.0000,0.0379,0.0762,,,,,,,
45.6420,8,3,9.0416,54.6836,converged,3641.79,73717.57,-2.0395,0.29,0.0000,0.0388,0.0372,,,,,,,
49.1181,7,7,24.1321,73.2501,completed,3641.75,73717.49,-2.0390,0.47,0.0000,0.0623,0.1896,0.1617,1.5886,3.5508,5.7862,,,
58.4575,5,5,19.3305,77.7876,completed,3641.75,73717.49,-2.0390,0.47,0.0000,0.0532,0.2049,1.4975,5.1968,,,,,
23.3631,10,3,9.2185,32.5815,converged,3641.68,73717.36,-2.0373,0.64,0.0000,0.0545,0.0443,,,,,,,
27.4736,10,3,9.4558,36.9288,converged,3641.68,73717.36,-2.0373,0.64,0.0000,0.0391,0.0348,,,,,,,
35.8435,9,3,10.2223,46.0653,converged,3641.61,73717.23,-2.0350,0.78,0.0000,0.0361,0.0384,,,,,,,
50.1808,7,3,10.2729,60.4530,converged,3641.61,73717.23,-2.0350,0.78,0.0000,0.0710,0.0748,,,,,,,
49.8380,7,7,35.1952,85.0333,completed,3641.54,73717.08,-2.0312,0.90,0.0000,0.0537,0.2448,0.5718,1.2875,4.1171,6.4025,,,
56.9197,6,6,31.9609,88.8800,completed,3641.54,73717.08,-2.0312,0.90,0.0000,0.0735,0.2005,0.8341,1.1712,5.2865,,,,
39.6568,9,3,10.7660,50.4220,converged,3641.41,73716.82,-2.0233,1.06,0.0000,0.0377,0.0507,,,,,,,
30.5028,10,3,9.7152,40.2172,converged,3641.41,73716.82,-2.0233,1.06,0.0000,0.0358,0.0534,,,,,,,
23.2052,10,3,9.4945,32.6995,converged,3641.30,73716.59,-2.0177,1.16,0.0000,0.0398,0.0466,,,,,,,
20.0796,10,3,9.2351,29.3141,converged,3641.30,73716.59,-2.0177,1.16,0.0000,0.0192,0.0994,,,,,,,
31.9043,10,3,9.3205,41.2246,converged,3641.22,73716.43,-2.0141,1.23,0.0000,0.0618,0.0274,,,,,,,
21.4648,10,10,32.4550,53.9191,completed,3641.17,73716.32,-2.0118,1.28,0.0000,0.0212,0.1017,0.1981,0.5152,0.4918,1.7541,3.4420,5.4713,5.4046
37.3307,9,3,11.1238,48.4538,converged,3641.17,73716.32,-2.0118,1.28,0.0000,0.0181,0.0930,,,,,,,
21.8854,10,10,33.2747,55.1597,completed,3641.04,73716.05,-2.0070,1.36,0.0000,0.0357,0.1250,0.2033,0.3895,0.6542,1.3907,3.3121,5.4430,5.5060
39.1861,9,9,32.1494,71.3354,completed,3641.04,73716.05,-2.0070,1.36,0.0000,0.0335,0.1143,0.2189,0.1928,0.4703,2.2439,5.4693,5.7831,
24.8171,10,10,31.2559,56.0729,completed,3640.90,73715.74,-2.0023,1.36,0.0000,0.0374,0.1347,0.2152,0.3587,0.3601,1.3399,3.4151,5.5742,5.6098
49.5297,7,3,9.2484,58.7774,converged,3640.90,73715.74,-2.0023,1.36,0.0000,0.0300,0.0972,,,,,,,
58.1698,5,5,19.4178,77.5869,completed,3640.78,73715.47,-2.0020,1.26,0.0000,0.3256,0.6437,1.9668,7.6644,,,,,
