jitter_ms,planned_steps,actual_steps,denoise_ms,total_cycle_ms,stop_reason,ego_x,ego_y,ego_yaw,ego_vx,delta_0,delta_1,delta_2,delta_3,delta_4,delta_5,delta_6,delta_7,delta_8,delta_9
jitter_ms,planned_steps,actual_steps,denoise_ms,total_cycle_ms,stop_reason,ego_x,ego_y,ego_yaw,ego_vx,delta_0,delta_1,delta_2,delta_3,delta_4,delta_5,delta_6,delta_7,delta_8,delta_9
53.4906,6,6,24.1157,77.6057,completed,81377.36,49916.91,0.5890,0.00,0.0000,0.1432,0.2174,1.5083,0.4921,0.3126,,,,
37.9283,9,7,53.8445,91.7725,deadline,81377.36,49916.91,0.5890,0.00,0.0000,0.3121,1.2593,1.6966,4.6447,0.9323,0.6344,,,
34.1613,9,6,34.3360,68.4970,converged,81377.36,49916.91,0.5890,0.00,0.0000,0.6999,1.6834,3.8142,0.7422,0.0389,,,,
51.9132,7,5,22.2357,74.1488,converged,81377.36,49916.91,0.5890,0.00,0.0000,1.3177,4.0956,2.3144,0.0847,,,,,
20.3616,10,7,27.7146,48.0756,converged,81377.36,49916.91,0.5890,0.00,0.0000,0.8564,1.4421,4.0272,2.0709,0.1473,0.0737,,,
51.3646,7,7,36.2055,87.5695,completed,81377.36,49916.91,0.5890,0.00,0.0000,0.1529,0.7156,3.2336,0.7240,0.7106,0.3827,,,
36.8934,9,3,10.4231,47.3161,converged,81377.36,49916.91,0.5890,0.00,0.0000,0.3162,0.0982,,,,,,,
23.6701,10,9,38.0268,61.6968,converged,81377.36,49916.91,0.5890,0.00,0.0000,0.4391,0.2266,1.6385,3.7474,0.3545,0.6455,0.1529,0.0333,
45.2510,8,8,34.3039,79.5549,completed,81377.36,49916.91,0.5890,0.00,0.0000,0.8274,2.2714,1.7873,4.1003,1.1305,0.8064,0.3770,,
55.3536,6,6,31.4270,86.7800,converged,81377.36,49916.91,0.5890,0.00,0.0000,0.8887,5.0665,3.1814,0.2561,0.0249,,,,
37.4846,9,8,55.1482,92.6323,deadline,81377.36,49916.91,0.5890,0.00,0.0000,0.1632,0.6798,0.5490,0.7634,1.1034,0.1859,0.4967,,
41.6922,8,6,34.6823,76.3743,converged,81377.36,49916.91,0.5890,0.00,0.0000,0.5625,1.5720,4.3022,0.3999,0.0315,,,,
42.4805,8,7,31.9888,74.4688,converged,81377.36,49916.91,0.5890,0.00,0.0000,0.6316,0.5155,4.8400,1.1726,0.3764,0.0288,,,
46.3285,7,7,47.1414,93.4694,completed,81377.36,49916.91,0.5890,0.00,0.0000,1.1454,3.2313,6.4181,2.8616,1.8833,0.8240,,,
55.9034,6,6,34.6617,90.5648,converged,81377.36,49916.91,0.5890,0.00,0.0000,0.3725,3.2706,4.4028,1.4750,0.0275,,,,
54.6939,6,6,27.9603,82.6533,converged,81377.36,49916.91,0.5890,0.00,0.0000,0.8245,0.1718,5.4038,1.6040,0.0331,,,,
23.7680,10,6,35.9288,59.6968,converged,81377.36,49916.91,0.5890,0.00,0.0000,0.5175,0.6638,2.9119,2.6434,0.0972,,,,
49.7166,7,7,51.6959,101.4119,completed,81377.36,49916.91,0.5890,0.00,0.0000,0.0162,1.0319,1.9673,1.0386,0.9092,0.7081,,,
20.7908,10,8,46.4327,67.2227,converged,81377.36,49916.91,0.5890,0.00,0.0000,0.2024,0.1410,1.2041,4.8720,1.3068,0.6236,0.0597,,
45.0392,8,6,29.8374,74.8764,converged,81377.36,49916.91,0.5890,0.00,0.0000,1.5266,4.2896,3.5195,0.2022,0.0389,,,,
51.5209,7,7,45.4388,96.9589,converged,81377.36,49916.91,0.5890,0.00,0.0000,1.4548,5.4824,4.7622,0.2227,0.1624,0.0191,,,
28.0197,10,10,55.3570,83.3760,completed,81377.36,49916.91,0.5890,0.00,0.0000,0.1036,0.7993,0.6209,3.1524,1.6743,0.8678,0.4356,0.2877,0.2151
58.1807,5,5,30.0207,88.2007,converged,81377.36,49916.91,0.5890,0.00,0.0000,0.6316,6.8273,1.1035,0.0363,,,,,
25.4853,10,3,10.9664,36.4514,converged,81377.36,49916.91,0.5890,0.00,0.0000,0.1352,0.0274,,,,,,,
47.8698,7,7,33.8530,81.7220,converged,81377.36,49916.91,0.5890,0.00,0.0000,1.3608,3.3676,5.0919,0.7104,0.3804,0.0226,,,
39.0204,9,9,39.2948,78.3148,completed,81377.36,49916.91,0.5890,0.00,0.0000,0.0880,0.3927,0.8036,1.3826,0.5767,0.6136,0.2786,0.2958,
49.3876,7,7,41.7314,91.1184,completed,81377.36,49916.91,0.5890,0.00,0.0000,0.1412,0.7149,1.4783,1.1187,0.8006,0.3249,,,
58.1573,5,5,28.3124,86.4694,completed,81377.36,49916.91,0.5890,0.00,0.0000,0.4775,1.1017,1.1248,0.8823,,,,,
38.6953,9,3,13.5299,52.2250,converged,81377.36,49916.91,0.5890,0.00,0.0000,0.0508,0.0519,,,,,,,
46.8550,7,7,27.7567,74.6107,completed,81377.36,49916.91,0.5890,0.00,0.0000,0.1385,0.5975,1.9140,0.8490,0.4843,0.3442,,,
50.1513,7,7,32.7520,82.9030,completed,81377.36,49916.91,0.5890,0.00,0.0000,1.4606,2.5243,3.9572,0.7467,0.5845,0.4901,,,
32.7303,10,10,41.1065,73.8365,completed,81377.36,49916.91,0.5890,0.00,0.0000,0.0151,0.6344,0.5907,0.4383,2.6201,0.8370,0.4719,0.6545,0.3638
47.9157,7,7,34.7167,82.6318,converged,81377.36,49916.91,0.5890,0.00,0.0000,0.5384,1.7516,6.4077,1.4125,0.2979,0.0322,,,
40.6519,8,8,36.7318,77.3828,completed,81377.36,49916.91,0.5890,0.00,0.0000,0.2365,1.0189,2.5428,1.7485,0.7098,0.2564,0.1996,,
45.6045,8,7,41.1889,86.7929,converged,81377.36,49916.91,0.5890,0.00,0.0000,0.7934,2.0321,7.4042,0.9796,0.1033,0.0429,,,
41.7290,8,8,29.5096,71.2386,converged,81377.36,49916.91,0.5890,0.00,0.0000,0.2473,0.4419,5.1609,2.5012,2.6724,0.3225,0.0127,,
46.6393,7,7,24.1860,70.8250,converged,81377.36,49916.91,0.5890,0.00,0.0000,0.3477,1.2493,8.5327,1.0601,0.2112,0.0364,,,
20.4150,10,9,39.7591,60.1731,converged,81377.36,49916.91,0.5890,0.00,0.0000,0.6140,0.6613,3.2793,6.1643,0.7960,0.4908,0.3188,0.0175,
55.8153,6,6,23.4866,79.3017,converged,81377.36,49916.91,0.5890,0.00,0.0000,0.6429,6.1304,4.3768,0.7267,0.0154,,,,
20.2294,10,8,40.8322,61.0612,converged,81377.36,49916.91,0.5890,0.00,0.0000,0.7558,1.3977,5.3817,4.1265,0.4723,0.2679,0.0466,,
29.9551,10,8,30.1496,60.1046,converged,81377.37,49916.91,0.5884,0.00,0.0000,0.4187,0.6110,3.6853,5.8560,1.0523,0.3346,0.0177,,
