jitter_ms,planned_steps,actual_steps,denoise_ms,total_cycle_ms,stop_reason,ego_x,ego_y,ego_yaw,ego_vx,delta_0,delta_1,delta_2,delta_3,delta_4,delta_5,delta_6,delta_7,delta_8,delta_9
28.3106,10,10,59.8429,88.1530,completed,81377.36,49916.91,0.5890,0.00,0.0000,0.3210,0.3651,2.6842,1.8988,0.4419,0.2891,0.1377,0.1806,0.4193
26.4629,10,4,23.2903,49.7524,converged,81377.36,49916.91,0.5890,0.00,0.0000,0.2799,1.0573,0.0935,,,,,,
48.3631,7,6,19.8604,68.2234,converged,81377.36,49916.91,0.5886,0.00,0.0000,1.2082,1.9616,0.5074,0.3139,0.0529,,,,
54.8649,6,6,28.0078,82.8718,completed,81377.36,49916.91,0.5886,0.00,0.0000,0.4211,2.6956,2.0394,1.7116,0.4375,,,,
49.3113,7,6,21.9421,71.2531,converged,81377.36,49916.91,0.5884,0.00,0.0000,1.0649,2.8021,0.9609,0.5979,0.0285,,,,
36.3071,9,9,39.5555,75.8660,completed,81377.36,49916.91,0.5884,0.00,0.0000,0.3773,1.2633,2.3989,3.5468,0.5737,0.7751,0.9116,1.1116,
22.7234,10,10,35.7850,58.5080,completed,81377.36,49916.91,0.5883,0.00,0.0000,0.1867,0.8190,0.9667,3.2634,0.4269,1.3424,1.4437,2.0823,2.0573
31.6055,10,10,42.7960,74.4011,completed,81377.36,49916.91,0.5883,0.00,0.0000,0.2494,1.3222,0.2169,5.3773,0.3808,0.5984,0.1869,0.2461,0.5881
57.5428,6,6,21.6302,79.1722,completed,81377.36,49916.91,0.5882,0.00,0.0000,1.5290,0.2362,1.3442,1.7694,2.4343,,,,
48.2513,7,7,37.4635,85.7145,completed,81377.36,49916.91,0.5882,0.00,0.0000,0.1648,0.7973,2.1975,1.0266,0.3890,0.1367,,,
22.0070,10,10,51.4420,73.4490,completed,81377.37,49916.91,0.5883,0.00,0.0000,0.6139,2.1427,3.1265,1.0877,3.0523,1.7904,2.5751,3.2603,2.8157
