jitter_ms,planned_steps,actual_steps,denoise_ms,total_cycle_ms,stop_reason,ego_x,ego_y,ego_yaw,ego_vx,delta_0,delta_1,delta_2,delta_3,delta_4,delta_5,delta_6,delta_7,delta_8,delta_9
34.5517,9,9,43.0859,77.6369,completed,81443.91,49970.00,0.6328,8.59,0.0000,0.0716,0.2408,0.1352,2.6867,6.3476,7.9076,8.1287,6.6297,
32.0944,10,10,48.5027,80.5967,completed,81446.22,49971.68,0.6224,8.57,0.0000,0.2443,0.4096,0.6481,0.6168,5.6831,4.7288,6.9403,7.4227,6.1705
45.2977,8,8,39.8507,85.1478,completed,81446.22,49971.68,0.6224,8.57,0.0000,0.0956,0.2665,0.3433,6.8969,7.1188,9.1196,8.2230,,
26.0113,10,10,54.7103,80.7214,completed,81448.19,49973.08,0.6157,8.55,0.0000,0.5453,1.0169,1.0884,0.8739,4.8994,3.7380,6.2069,6.5434,5.4300
43.5325,8,8,35.8972,79.4293,completed,81448.19,49973.08,0.6157,8.55,0.0000,0.8895,2.8252,6.3606,3.4994,4.8688,8.5380,7.4446,,
58.5554,5,5,20.7471,79.3021,completed,81450.40,49974.64,0.6127,8.52,0.0000,0.2386,3.4151,6.6829,9.2096,,,,,
47.1739,7,7,30.7977,77.9707,completed,81450.40,49974.64,0.6127,8.52,0.0000,0.0902,0.2472,3.3106,5.1859,8.3301,7.8039,,,
37.1498,9,9,46.4329,83.5820,completed,81452.41,49976.06,0.6119,8.50,0.0000,0.7031,1.4136,1.1470,3.6903,4.5607,5.3421,6.8206,6.0231,
38.0853,9,9,52.0820,90.1671,completed,81452.41,49976.06,0.6119,8.50,0.0000,0.1900,0.2198,0.6756,2.4805,4.7461,6.6829,6.9847,5.5995,
43.6531,8,8,29.3115,72.9645,completed,81454.83,49977.76,0.6082,8.48,0.0000,0.0774,0.1134,1.3954,2.6724,5.4002,7.5031,6.2656,,
41.0201,8,8,37.4178,78.4378,completed,81454.83,49977.76,0.6082,8.48,0.0000,0.2061,0.4684,1.2856,4.4926,5.2307,7.6337,6.7514,,
29.6962,10,10,53.9146,83.6106,completed,81456.65,49979.03,0.6063,8.47,0.0000,0.2792,0.6917,1.2224,0.2714,3.2460,3.8992,5.7502,6.1453,5.2097
24.3672,10,10,39.6134,63.9805,completed,81456.65,49979.03,0.6063,8.47,0.0000,0.2020,0.4435,0.6240,0.9764,1.7263,4.7127,6.5372,6.1310,4.9371
56.7738,6,6,26.6296,83.4027,completed,81458.50,49980.31,0.6009,8.47,0.0000,0.8676,2.2970,1.9163,5.9383,8.9969,,,,
31.3205,10,10,52.9264,84.2465,completed,81458.50,49980.31,0.6009,8.47,0.0000,0.1649,0.3294,0.4570,0.6900,1.3207,4.7792,6.4470,6.1216,4.9610
50.3775,7,7,37.8350,88.2120,completed,81460.85,49981.91,0.5972,8.47,0.0000,0.8310,1.4526,0.8220,4.3843,7.0527,8.1435,,,
54.7079,6,6,29.1360,83.8430,completed,81460.85,49981.91,0.5972,8.47,0.0000,0.3110,0.6877,2.3834,6.7842,8.9335,,,,
59.7444,5,5,18.9090,78.6530,completed,81462.94,49983.32,0.5938,8.49,0.0000,0.0909,1.1486,5.8076,9.6105,,,,,
33.2230,10,10,39.7057,72.9277,completed,81462.94,49983.32,0.5938,8.49,0.0000,0.2445,0.7914,1.8487,2.2296,1.8391,6.3847,6.6589,5.9512,4.8146
39.9985,9,3,13.7755,53.7735,converged,81464.98,49984.69,0.5872,8.50,0.0000,0.0656,0.0649,,,,,,,
25.1608,10,10,49.9587,75.1187,completed,81464.98,49984.69,0.5872,8.50,0.0000,0.7073,1.9292,5.5191,6.2371,12.2055,0.8759,5.5266,7.8344,7.9099
42.4895,8,8,44.1551,86.6441,completed,81466.94,49985.99,0.5825,8.50,0.0000,0.3160,0.8570,0.7422,1.8023,5.2462,7.7785,6.9213,,
44.1338,8,8,34.8012,78.9342,completed,81466.94,49985.99,0.5825,8.50,0.0000,0.0757,0.1620,0.6839,2.5593,5.6285,7.5036,6.5109,,
34.6240,9,9,56.0524,90.6754,completed,81469.08,49987.38,0.5776,8.50,0.0000,0.2346,0.3335,0.4917,0.6533,4.0050,6.0030,6.7690,5.7278,
22.9544,10,10,50.9397,73.8938,completed,81469.08,49987.38,0.5776,8.50,0.0000,0.3089,0.5149,0.8601,1.3149,3.4297,5.1063,6.2084,5.8428,4.8946
53.4027,6,6,28.8032,82.2052,completed,81471.22,49988.76,0.5708,8.50,0.0000,0.2279,0.8406,1.0666,6.4516,8.8120,,,,
24.2255,10,10,51.9032,76.1282,completed,81471.22,49988.76,0.5708,8.50,0.0000,0.0935,0.2789,0.2326,0.5470,4.3010,4.7478,6.2907,6.1768,5.2371
21.0222,10,10,49.3302,70.3523,completed,81473.37,49990.13,0.5601,8.50,0.0000,0.0187,0.2042,0.6838,1.3081,2.1923,4.2771,6.2669,6.3417,5.3195
36.8553,9,9,37.2901,74.1452,completed,81473.37,49990.13,0.5601,8.50,0.0000,0.7451,2.0645,4.1526,1.0950,4.1583,5.2113,6.9792,6.7604,
23.8634,10,3,12.2442,36.1073,converged,81475.29,49991.32,0.5505,8.49,0.0000,0.1017,0.0335,,,,,,,
43.8705,8,8,36.2383,80.1083,completed,81475.29,49991.32,0.5505,8.49,0.0000,0.4247,1.2745,1.4084,4.1574,4.9924,7.1648,7.2316,,
34.7372,9,3,10.0194,44.7564,converged,81477.46,49992.64,0.5391,8.48,0.0000,0.0432,0.0438,,,,,,,
41.7609,8,8,27.4628,69.2228,completed,81477.46,49992.64,0.5391,8.48,0.0000,0.5716,1.7379,2.1611,4.3294,5.0018,7.2578,7.2699,,
47.7189,7,7,32.0570,79.7751,completed,81479.15,49993.66,0.5366,8.48,0.0000,0.0530,0.1141,1.3907,4.4248,8.1245,7.8491,,,
39.1922,9,9,30.9567,70.1487,completed,81479.15,49993.66,0.5366,8.48,0.0000,0.7886,1.6149,2.2068,1.7397,6.0055,5.1739,7.1134,6.8440,
52.0809,6,6,32.1027,84.1828,completed,81481.33,49994.96,0.5291,8.47,0.0000,0.8902,1.8580,1.8148,5.3145,8.9882,,,,
59.6396,5,5,23.5567,83.1957,completed,81481.33,49994.96,0.5291,8.47,0.0000,1.4626,0.8213,7.2591,10.2654,,,,,
43.3294,8,8,39.0523,82.3814,completed,81483.53,49996.22,0.5069,8.46,0.0000,0.2769,0.1056,0.2682,1.0828,5.1072,7.7924,7.4570,,
31.5322,10,10,40.8415,72.3735,completed,81483.53,49996.22,0.5069,8.46,0.0000,0.2804,0.5619,0.2801,0.4076,2.4202,4.7503,6.5857,6.8067,5.8247
50.5903,7,7,26.7124,77.3024,completed,81485.75,49997.43,0.4926,8.45,0.0000,0.0521,0.1586,0.2586,3.2136,7.2500,8.0827,,,
54.2803,6,3,14.6971,68.9772,converged,81485.75,49997.43,0.4926,8.45,0.0000,0.7806,0.0964,,,,,,,
46.7344,7,7,26.4871,73.2211,completed,81487.75,49998.48,0.4779,8.45,0.0000,0.0309,0.2223,1.5539,3.0000,8.0660,8.3098,,,
36.6899,9,9,40.7054,77.3944,completed,81487.75,49998.48,0.4779,8.45,0.0000,0.6703,0.7661,1.8770,1.7619,2.3581,5.7856,6.9239,5.9933,
31.0305,10,10,50.7812,81.8113,completed,81489.67,49999.46,0.4681,8.45,0.0000,0.0618,0.1911,0.3887,0.4372,1.1997,5.7014,7.5860,6.7749,5.4041
42.3946,8,8,39.5888,81.9829,completed,81489.67,49999.46,0.4681,8.45,0.0000,0.4465,0.5711,0.6552,1.8379,4.7940,7.8650,7.6848,,
58.1318,5,5,24.7944,82.9254,completed,81492.26,50000.76,0.4557,8.45,0.0000,0.4491,0.5444,7.6952,11.2967,,,,,
31.3918,10,10,51.8074,83.1984,completed,81492.26,50000.76,0.4557,8.45,0.0000,0.4348,0.4800,0.6177,0.6015,1.3891,4.6440,6.9916,7.0996,5.9959
51.4970,7,7,29.0202,80.5173,completed,81494.29,50001.73,0.4417,8.44,0.0000,0.1728,0.3659,0.7998,4.7079,8.3831,8.8703,,,
35.9427,9,3,15.9998,51.9418,converged,81494.29,50001.73,0.4417,8.44,0.0000,0.1355,0.0984,,,,,,,
52.4983,6,6,24.0897,76.5878,completed,81496.59,50002.80,0.4283,8.43,0.0000,0.2689,0.4273,1.8218,7.2757,10.0373,,,,
36.1852,9,9,35.0779,71.2629,completed,81496.59,50002.80,0.4283,8.43,0.0000,0.1022,0.1731,0.2741,1.3144,4.1993,7.3643,8.1337,6.8496,
23.4690,10,3,9.8430,33.3120,converged,81498.63,50003.73,0.4195,8.43,0.0000,0.0706,0.0739,,,,,,,
38.5229,9,9,47.0592,85.5812,completed,81498.63,50003.73,0.4195,8.43,0.0000,0.1181,0.2174,0.3298,1.3809,5.2254,8.1168,8.0496,6.5052,
44.5061,8,8,29.2029,73.7089,completed,81500.72,50004.67,0.4122,8.42,0.0000,0.0539,0.3894,2.2957,1.6747,4.4638,8.2107,7.9365,,
54.4941,6,6,21.4955,75.9895,completed,81500.72,50004.67,0.4122,8.42,0.0000,0.3978,0.7308,1.8886,7.7729,9.7934,,,,
59.8869,5,5,19.2658,79.1518,completed,81502.74,50005.55,0.4079,8.41,0.0000,0.4347,7.0664,2.8003,7.5054,,,,,
59.0205,5,5,28.5042,87.5243,completed,81502.74,50005.55,0.4079,8.41,0.0000,0.0985,1.4669,6.1821,10.3521,,,,,
50.9177,7,7,41.4959,92.4130,completed,81505.36,50006.65,0.3877,8.40,0.0000,0.0644,0.4018,2.2995,3.4945,8.2057,9.2076,,,
58.8789,5,5,32.1050,90.9830,completed,81505.36,50006.65,0.3877,8.40,0.0000,0.7451,4.3054,4.5091,9.9822,,,,,
28.9837,10,3,16.6702,45.6533,converged,81508.09,50007.75,0.3713,8.39,0.0000,0.0659,0.0471,,,,,,,
31.3886,10,10,63.6547,95.0428,completed,81508.09,50007.75,0.3713,8.39,0.0000,0.5664,0.7071,0.9092,1.5829,3.7647,6.1584,8.2574,7.5161,6.0056
53.8194,6,6,40.8204,94.6394,completed,81510.52,50008.68,0.3576,8.38,0.0000,0.2048,0.7380,4.3130,9.3439,10.4406,,,,
31.6928,10,10,49.0648,80.7568,completed,81510.52,50008.68,0.3576,8.38,0.0000,0.3234,0.3100,0.1550,0.8560,1.8781,4.3245,7.3778,7.8671,6.5137
27.4033,10,10,42.3785,69.7815,completed,81513.04,50009.62,0.3487,8.38,0.0000,0.1935,0.3196,0.3772,0.6516,3.3764,5.9706,7.8738,7.5858,6.0762
41.7909,8,8,36.1543,77.9443,completed,81513.04,50009.62,0.3487,8.38,0.0000,0.3848,1.2215,2.5900,2.4363,3.4298,8.3043,7.4615,,
47.2035,7,7,25.6831,72.8861,completed,81515.52,50010.48,0.3237,8.38,0.0000,0.4086,0.9434,2.2084,2.0081,6.9644,9.3178,,,
41.8314,8,8,42.4335,84.4251,completed,81515.52,50010.48,0.3237,8.38,0.0000,0.0864,0.7317,1.1827,1.7301,5.3456,9.2180,8.0152,,
56.9817,6,6,26.0975,83.0785,completed,81517.69,50011.20,0.3120,8.36,0.0000,0.2215,0.2635,1.4323,9.7555,10.3328,,,,
34.7232,9,9,42.7021,77.4252,completed,81517.69,50011.20,0.3120,8.36,0.0000,0.1439,0.3228,1.9149,1.6190,1.7831,5.6550,8.2503,7.2678,
56.0342,6,6,32.5587,88.5927,completed,81520.01,50011.94,0.3021,8.35,0.0000,0.0751,0.1941,1.9646,8.4533,10.4068,,,,
