31.0592,10,10,32.9300,63.9891,completed,3704.80,73765.74,0.4769,0.00,0.0000,0.1958,0.1511,0.2760,0.7768,1.0829,1.0586,0.7912,0.2980,0.1762
52.7945,6,3,10.7504,63.5445,converged,3704.80,73765.74,0.4769,0.00,0.0000,0.1384,0.0407,,,,,,,
42.2037,8,3,9.6875,51.8906,converged,3704.80,73765.74,0.4769,0.00,0.0000,0.1283,0.0519,,,,,,,
40.9129,8,8,25.7448,66.6569,completed,3704.80,73765.74,0.4769,0.00,0.0000,0.1103,0.1063,0.3660,0.8207,0.4265,0.3379,0.2724,,
59.8804,5,5,18.7468,78.6268,completed,3704.80,73765.74,0.4769,0.00,0.0000,0.1899,0.2045,1.3999,0.6207,,,,,
28.2626,10,3,9.3763,37.6384,converged,3704.80,73765.74,0.4769,0.00,0.0000,0.0461,0.0973,,,,,,,
52.0658,6,6,22.6883,74.7533,completed,3704.80,73765.74,0.4769,0.00,0.0000,0.2497,0.1278,1.8619,0.3573,0.3618,,,,
56.0335,6,6,27.2727,83.3058,completed,3704.80,73765.74,0.4769,0.00,0.0000,0.0849,0.5319,2.5244,1.3001,0.8514,,,,
35.5212,9,9,30.2099,65.7310,completed,3704.80,73765.74,0.4769,0.00,0.0000,0.1605,0.1191,0.3015,0.8273,1.1163,0.9423,0.2841,0.2182,
32.2455,10,10,32.4056,64.6506,completed,3704.80,73765.74,0.4769,0.00,0.0000,0.0241,0.1396,0.2747,0.8496,1.9574,1.1915,0.7977,0.5270,0.2796
43.0341,8,3,9.0862,52.1202,converged,3704.80,73765.74,0.4769,0.00,0.0000,0.1699,0.0980,,,,,,,
37.7681,9,9,28.1509,65.9189,completed,3704.80,73765.74,0.4769,0.02,0.0000,0.1511,0.1095,0.1566,0.4074,0.7738,0.3313,0.2094,0.2849,
32.4471,10,3,9.1876,41.6346,converged,3704.80,73765.74,0.4769,0.02,0.0000,0.0861,0.0383,,,,,,,
32.7505,10,3,9.4057,42.1557,converged,3704.81,73765.75,0.4769,0.04,0.0000,0.1265,0.0237,,,,,,,
47.8332,7,7,22.6212,70.4542,completed,3704.81,73765.75,0.4769,0.04,0.0000,0.1876,0.1405,0.2001,1.0952,0.2972,0.2613,,,
56.7027,6,6,20.4397,77.1418,completed,3704.82,73765.75,0.4768,0.13,0.0000,0.0956,0.1892,2.1533,1.1626,0.6352,,,,
59.5962,5,5,17.6075,77.2036,completed,3704.82,73765.75,0.4768,0.13,0.0000,0.4645,1.6566,1.4347,0.8845,,,,,
43.5344,8,3,9.4983,53.0323,converged,3704.87,73765.78,0.4768,0.28,0.0000,0.0278,0.0646,,,,,,,
39.9464,9,3,8.8535,48.7995,converged,3704.87,73765.78,0.4768,0.28,0.0000,0.0162,0.0301,,,,,,,
36.9224,9,3,9.5678,46.4898,converged,3704.93,73765.81,0.4767,0.40,0.0000,0.0430,0.0206,,,,,,,
46.8715,7,3,9.4916,56.3626,converged,3704.93,73765.81,0.4767,0.40,0.0000,0.0306,0.0645,,,,,,,
