jitter_ms,planned_steps,actual_steps,denoise_ms,total_cycle_ms,stop_reason,ego_x,ego_y,ego_yaw,ego_vx,delta_0,delta_1,delta_2,delta_3,delta_4,delta_5,delta_6,delta_7,delta_8,delta_9
49.6519,7,7,36.9015,86.5525,completed,81377.36,49916.91,0.5889,0.00,0.0000,0.2753,1.2695,0.5602,0.1536,0.7055,0.5623,,,
28.8006,10,10,55.8127,84.6127,completed,81377.36,49916.91,0.5889,0.00,0.0000,0.1525,0.9757,0.7771,3.0506,0.5806,0.1649,0.2793,0.1146,0.1391
25.8334,10,9,34.8414,60.6744,converged,81377.36,49916.91,0.5889,0.00,0.0000,0.6773,0.7221,3.1967,6.3396,0.6805,0.2321,0.1367,0.0057,
37.4974,9,6,20.9979,58.4950,converged,81377.36,49916.91,0.5889,0.00,0.0000,0.9700,1.4789,5.9552,3.2823,0.0484,,,,
40.2048,8,7,22.1305,62.3345,converged,81377.36,49916.91,0.5890,0.00,0.0000,0.5279,0.5399,3.7925,0.4053,0.1284,0.0136,,,
45.3397,8,4,18.1939,63.5329,converged,81377.36,49916.91,0.5890,0.00,0.0000,0.0630,1.5756,0.0514,,,,,,
47.6836,7,6,27.3542,75.0372,converged,81377.36,49916.91,0.5888,0.00,0.0000,1.4513,3.5393,4.2704,0.1222,0.0583,,,,
46.9402,7,6,34.1902,81.1302,converged,81377.36,49916.91,0.5888,0.00,0.0000,1.5664,3.5564,5.4389,0.2756,0.0241,,,,
31.6216,10,9,44.0700,75.6910,converged,81377.37,49916.92,0.5882,0.00,0.0000,0.3872,0.2701,0.6529,2.1806,3.8114,3.2347,0.9787,0.0369,
39.0685,9,8,34.8113,73.8794,converged,81377.37,49916.92,0.5882,0.00,0.0000,0.7144,0.6175,4.0416,4.8812,0.5479,0.1770,0.0100,,
24.2645,10,8,43.3593,67.6234,converged,81377.38,49916.92,0.5881,0.00,0.0000,0.8535,0.8495,3.1317,7.6724,1.1501,0.1275,0.0294,,
51.9881,7,7,35.7907,87.7787,converged,81377.38,49916.92,0.5881,0.00,0.0000,1.2484,1.4833,7.5710,2.1135,0.3011,0.0564,,,
39.6850,9,3,10.0844,49.7694,converged,81377.39,49916.93,0.5881,0.00,0.0000,0.4335,0.0297,,,,,,,
40.8948,8,7,24.0931,64.9872,converged,81377.39,49916.93,0.5881,0.00,0.0000,0.7449,0.7514,8.1043,7.2190,1.2632,0.0247,,,
36.8503,9,8,39.9583,76.8083,converged,81377.39,49916.93,0.5880,0.00,0.0000,0.0322,0.2672,6.1482,5.9858,3.3576,0.2813,0.0254,,
39.9093,9,9,33.7434,73.6525,completed,81377.39,49916.93,0.5880,0.00,0.0000,0.3325,0.8044,1.3194,5.8478,1.1228,0.8441,0.5606,0.4003,
55.5965,6,6,32.6523,88.2503,completed,81377.40,49916.93,0.5881,0.00,0.0000,1.0236,0.4178,9.4766,1.8489,0.7723,,,,
36.2673,9,9,44.2486,80.5159,completed,81377.40,49916.93,0.5881,0.00,0.0000,0.5078,0.8914,2.3936,7.6027,1.1848,1.0870,0.5071,0.2344,
